Date,Soil Humidity (%)
1/1/2024,44.58653484
1/2/2024,44.58653484
1/3/2024,44.58653484
1/4/2024,44.58653484
1/5/2024,44.58653484
1/6/2024,44.58653484
1/7/2024,44.58653484
1/8/2024,44.58653484
1/9/2024,44.58653484
1/10/2024,44.58653484
1/11/2024,44.58653484
1/12/2024,44.58653484
1/13/2024,44.58653484
1/14/2024,44.58653484
1/15/2024,44.58653484
1/16/2024,44.58653484
1/17/2024,44.58653484
1/18/2024,44.58653484
1/19/2024,44.58653484
1/20/2024,44.58653484
1/21/2024,44.58653484
1/22/2024,44.58653484
1/23/2024,44.58653484
1/24/2024,44.58653484
1/25/2024,44.58653484
1/26/2024,44.58653484
1/27/2024,44.58653484
1/28/2024,44.58653484
1/29/2024,44.58653484
1/30/2024,44.58653484
1/31/2024,44.58653484
2/1/2024,44.58653484
2/2/2024,44.58653484
2/3/2024,44.58653484
2/4/2024,44.58653484
2/5/2024,44.58653484
2/6/2024,44.58653484
2/7/2024,44.58653484
2/8/2024,44.58653484
2/9/2024,44.58653484
2/10/2024,44.58653484
2/11/2024,44.58653484
2/12/2024,44.58653484
2/13/2024,44.58653484
2/14/2024,44.58653484
2/15/2024,44.58653484
2/16/2024,44.58653484
2/17/2024,44.58653484
2/18/2024,44.58653484
2/19/2024,44.58653484
2/20/2024,44.58653484
2/21/2024,44.58653484
2/22/2024,44.58653484
2/23/2024,44.58653484
2/24/2024,44.58653484
2/25/2024,44.58653484
2/26/2024,44.58653484
2/27/2024,44.58653484
2/28/2024,44.58653484
2/29/2024,44.58653484
3/1/2024,44.58653484
3/2/2024,44.58653484
3/3/2024,44.58653484
3/4/2024,44.58653484
3/5/2024,44.58653484
3/6/2024,44.58653484
3/7/2024,44.58653484
3/8/2024,44.58653484
3/9/2024,44.58653484
3/10/2024,44.58653484
3/11/2024,44.58653484
3/12/2024,44.58653484
3/13/2024,44.58653484
3/14/2024,44.58653484
3/15/2024,44.58653484
3/16/2024,44.58653484
3/17/2024,44.58653484
3/18/2024,44.58653484
3/19/2024,44.58653484
3/20/2024,44.58653484
3/21/2024,44.58653484
3/22/2024,44.58653484
3/23/2024,44.58653484
3/24/2024,44.58653484
3/25/2024,44.58653484
3/26/2024,44.58653484
3/27/2024,44.58653484
3/28/2024,44.58653484
3/29/2024,44.58653484
3/30/2024,44.58653484
3/31/2024,44.58653484
4/1/2024,44.58653484
4/2/2024,44.58653484
4/3/2024,44.58653484
4/4/2024,44.58653484
4/5/2024,44.58653484
4/6/2024,44.58653484
4/7/2024,44.58653484
4/8/2024,44.58653484
4/9/2024,44.58653484
4/10/2024,44.58653484
4/11/2024,44.58653484
4/12/2024,44.58653484
4/13/2024,44.58653484
4/14/2024,44.58653484
4/15/2024,44.58653484
